Rank,Title,Authors,Journal,Publication Year,GCS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,CitedPerYear
369,VISUAL GUIDANCE OF ROBOTS INTEGRATED IN INTELLIGENT MANUFACTURING,"Stocklosa, Octavian; Borangiu, Theodor; Raileanu, Silviu; Morariu, Octavian; Morariu, Cristina",UNIVERSITY POLITEHNICA OF BUCHAREST SCIENTIFIC BULLETIN SERIES C-ELECTRICAL ENGINEERING AND COMPUTER SCIENCE,2015,0,0,0,0,0,0,0,0,0,0,0,0.0
370,Design and Implementation of an Energy Trading Model for Smart Factories,"Lee, Hyunjeong; Yoo, Sangkeun; Kim, Yong-Woon",PROCEEDINGS OF 2015 IEEE 20TH CONFERENCE ON EMERGING TECHNOLOGIES & FACTORY AUTOMATION (ETFA),2015,0,0,0,0,0,0,0,0,0,0,0,0.0
371,Modeling of RFID-Enabled Real-Time Manufacturing Execution System in Mixed-Model Assembly Lines,"Yang, Zhixin; Xu, Wei; Wong, Pak-Kin; Wang, Xianbo",MATHEMATICAL PROBLEMS IN ENGINEERING,2015,0,0,0,0,0,0,0,0,0,0,0,0.0
372,Intelligent Manufacturing of a New Kind of Worm-like Robot Based on Parallel Mechanism,"Sun, Peize; Jiang, Qiang; Liu, Danhui",3RD INTERNATIONAL CONFERENCE ON ADVANCED COMPOSITE MATERIALS AND MANUFACTURING ENGINEERING (CMME 2015),2015,0,0,0,0,0,0,0,0,0,0,0,0.0
373,Research on Intelligent Manufacturing for Intelligent Socket Plate Fastener Type Scaffold Installing Machine,"Yang, Yang; Hu, Wanli; Li, Wenxiu",3RD INTERNATIONAL CONFERENCE ON ADVANCED COMPOSITE MATERIALS AND MANUFACTURING ENGINEERING (CMME 2015),2015,0,0,0,0,0,0,0,0,0,0,0,0.0
374,Intelligent Manufacturing for Heat Recovery System of Stove Metal Frame,"Hu, Wanli; Luo, Yao; Jiang, Qiang",3RD INTERNATIONAL CONFERENCE ON ADVANCED COMPOSITE MATERIALS AND MANUFACTURING ENGINEERING (CMME 2015),2015,0,0,0,0,0,0,0,0,0,0,0,0.0
375,REAL-TIME MAINTENANCE POLICY IN MANUFACTURING SYSTEMS WITH INTERMEDIATE BUFFERS,"Gu, Xi; Jin, Xiaoning; Ni, Jun","PROCEEDINGS OF THE ASME 10TH INTERNATIONAL MANUFACTURING SCIENCE AND ENGINEERING CONFERENCE, 2015, VOL 2",2015,0,0,0,0,0,0,0,0,0,0,0,0.0
376,Research on intelligent computer system based automobile manufacture and assembly,"Pang, Cheng Li","COMPUTING, CONTROL, INFORMATION AND EDUCATION ENGINEERING",2015,0,0,0,0,0,0,0,0,0,0,0,0.0
377,Study on IGMP for PLC in Intelligent Manufacturing System,Wang Guangfu,"ADVANCES IN MECHATRONICS AND CONTROL ENGINEERING II, PTS 1-3",2013,0,0,0,0,0,0,0,0,0,0,0,0.0
378,Cloud-based robot remote control system for smart factory,"Wu, Zhiming; Li, Lianzhong; Xu, Yang; Zhai, Jingmei",SIXTH INTERNATIONAL CONFERENCE ON ELECTRONICS AND INFORMATION ENGINEERING,2015,0,0,0,0,0,0,0,0,0,0,0,0.0
379,AN INTELLIGENT DESIGN ENVIRONMENT FOR CHANGEABILITY MANAGEMENT - APPLICATION TO MANUFACTURING SYSTEMS,"Benkamoun, Nadege; Kouiss, Khalid; Huyet, Anne-Lise",DS 80-3 PROCEEDINGS OF THE 20TH INTERNATIONAL CONFERENCE ON ENGINEERING DESIGN (ICED 15) VOL 3: ORGANISATION AND MANAGEMENT,2015,0,0,0,0,0,0,0,0,0,0,0,0.0
380,Webservice-Ready Configurable Devices for Intelligent Manufacturing Systems,"Faist, Jiri; Stetina, Milan","ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS: INNOVATIVE PRODUCTION MANAGEMENT TOWARDS SUSTAINABLE GROWTH (AMPS 2015), PT II",2015,0,0,0,0,0,0,0,0,0,0,0,0.0
381,Distributed Identical Grating Sensing System Oriented to Equipment Intelligent Sense in Cloud Manufacturing,"Liu, Quan; Bao, Kunchao; Fang, Yilin; Huang, Tao; Li, Zhengying","ADVANCES IN PRODUCTION MANAGEMENT SYSTEMS: INNOVATIVE PRODUCTION MANAGEMENT TOWARDS SUSTAINABLE GROWTH (AMPS 2015), PT II",2015,0,0,0,0,0,0,0,0,0,0,0,0.0
382,The Intelligent Control Technology of Manufacturing Execution Process Based on RFID,"Fan, Ruicheng; Wang, Aimin; Lv, Yanpeng",2015 4TH INTERNATIONAL CONFERENCE ON MECHANICS AND CONTROL ENGINEERING (ICMCE 2015),2015,0,0,0,0,0,0,0,0,0,0,0,0.0
383,HIGH PRECISION WITH REAL TIME CORRECTION IN MANUFACTURING,"Sima, Gheorghe; Glavan, Dan; Popa, Alexandru; Mortoiu, Doina",AKTUALNI ZADACI MEHANIZACIJE POLJOPRIVREDE: ACTUAL TASKS ON AGRICULTURAL ENGINEERING,2015,0,0,0,0,0,0,0,0,0,0,0,0.0
384,A Modular Synthesis Approach for Intelligent Manufacturing System Design a Petri net based Transformation Method,"Jafarinejad, Fatcmch; Pouvan, Ali A.",2015 SIGNAL PROCESSING AND INTELLIGENT SYSTEMS CONFERENCE (SPIS),2015,0,0,0,0,0,0,0,0,0,0,0,0.0
385,Intelligent Evaluation Method of Green Manufacturing Process Planning,"Bin Yi, Xiang; Li, Bao Dong; Sheng, Jian Cheng; Jiao, Ai Sheng","MANUFACTURING, DESIGN SCIENCE AND INFORMATION ENGINEERING, VOLS I AND II",2015,0,0,0,0,0,0,0,0,0,0,0,0.0
386,Rule-Based Composition of Intelligent Mechatronic Components in Manufacturing Systems Using Prolog,"Sorouri, Majid; Vyatkin, Valeriy; Salcic, Zoran",2013 11TH IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL INFORMATICS (INDIN),2013,0,0,0,0,0,0,0,0,0,0,0,0.0
387,The Application of Smart Vehicle Deployment System in Asphalt Concrete Factory,"Lin, Jyh-Dong; Chiou, Chin-Rung; Wei, Kuang-Yi; Lea, Jih-Chiang","ADVANCED MANUFACTURING TECHNOLOGY, PTS 1-4",2012,0,0,0,0,0,0,0,0,0,0,0,0.0
388,A Fuzzy Hybrid Intelligent Agent System for Mitigating Demand Amplification in Supply Chain of Steel Manufacturing,"Gamasaee, R.; Zarandi, M. H. Fazel",PROCEEDINGS OF THE 2013 JOINT IFSA WORLD CONGRESS AND NAFIPS ANNUAL MEETING (IFSA/NAFIPS),2013,0,0,0,0,0,0,0,0,0,0,0,0.0
389,Real time flexible manufacturing system: Analytical description,"Jose de Jesus, Medel; Gabriel, Hernandez; Pedro, Guevara","ACMOS '08: PROCEEDINGS OF THE 10TH WSEAS INTERNATIONAL CONFERENCE ON AUTOMATIC CONTROL, MODELLING AND SIMULATION",2008,0,0,0,0,0,0,0,0,0,0,0,0.0
390,Architecture of flexible and reliable control & monitoring system for distributed machining systems for the International Conference on Smart Manufacturing Application (ICSMA 2008),"Nam, Sung-Ho; Ryu, Kwang-Ryeol; Kwon, Ki-Eak; Lee, Seok-Woo; Choi, Hon-Zong",2008 INTERNATIONAL CONFERENCE ON SMART MANUFACTURING APPLICATION,2008,0,0,0,0,0,0,0,0,0,0,0,0.0
391,A Concept for Isles of Automation: Ubiquitous Robot Cell for Flexible Manufacturing,"Sallinen, Mikko; Heikkila, Tapio; Salmi, Timo; Kivikunnas, Sauli; Pulkkinen, Topi","2008 INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION AND SYSTEMS, VOLS 1-4",2008,0,0,0,0,0,0,0,0,0,0,0,0.0
392,Integrating Agents and Soft Computing in Intelligent Manufacturing System Models,"Spinosa, Luiz Marcio; Coelho, Leandro dos Santos","2008 IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION, PROCEEDINGS",2008,0,0,0,0,0,0,0,0,0,0,0,0.0
393,Powering Flexible Manufacturing Systems with Intelligent Contact-less Power Transfer,"Budhia, M.; Vyatkin, V.; Covic, G. A.","2008 6TH IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL INFORMATICS, VOLS 1-3",2008,0,0,0,0,0,0,0,0,0,0,0,0.0
394,Towards a New Generation of Intelligent Manufacturing Systems,"Dumitrache, Ioan; Caramihai, Simona I.","2008 4TH INTERNATIONAL IEEE CONFERENCE INTELLIGENT SYSTEMS, VOLS 1 AND 2",2008,0,0,0,0,0,0,0,0,0,0,0,0.0
395,Privacy-Preserving Self-Localization Techniques in Next Generation Manufacturing An Interdisciplinary View on the Vision and Implementation of Smart Factories,"Lucke, D.; Westkaemper, E.; Siemoneit, O.","2008 10TH INTERNATIONAL CONFERENCE ON CONTROL AUTOMATION ROBOTICS & VISION: ICARV 2008, VOLS 1-4",2008,0,0,0,0,0,0,0,0,0,0,0,0.0
396,CONCEPTUAL MODELING OF COLLABORATIVE INTELLIGENT MANUFACTURING FOR CUSTOMIZED PRODUCTS: AN ONTOGICAL APPORACH,"Yan, Jiaqi; Ye, Kang; Wang, Huaiqing; Hua, Zhongsheng",12TH PACIFIC ASIA CONFERENCE ON INFORMATION SYSTEMS (PACIS 2008),2008,0,0,0,0,0,0,0,0,0,0,0,0.0
397,Multi-layer intelligent encapsulation of manufacturing resources for MAS-based distributed manufacturing system,"Cao, Yan; Du, Jiang; Bai, Yu; Yang, Lina; Yang, Yanli","WKDD: 2009 SECOND INTERNATIONAL WORKSHOP ON KNOWLEDGE DISCOVERY AND DATA MINING, PROCEEDINGS",2009,0,0,0,0,0,0,0,0,0,0,0,0.0
398,SUSTAINABILITY AND MANUFACTURING PHILOSOPHY-FROM MASS PRODUCTION TO INTELLIGENT ENERGY FIELD MANUFACTURING,"Zhang, Wenwu","PROCEEDINGS OF THE ASME INTERNATIONAL MANUFACTURING SCIENCE AND ENGINEERING CONFERENCE, VOL 2",2009,0,0,0,0,0,0,0,0,0,0,0,0.0
399,EMERGING TRENDS IN MECHATRONICS AND SMART MANUFACTURING,"Shetty, Devdas; Manzione, Lou","PROCEEDINGS OF THE ASME INTERNATIONAL MANUFACTURING SCIENCE AND ENGINEERING CONFERENCE, VOL 1",2009,0,0,0,0,0,0,0,0,0,0,0,0.0
400,Knowledge Management in Intelligent Manufacturing Enterprise,"Dumitrache, I.; Caramihai, S. I.; Stanescu, A.","PROCEEDINGS OF THE 8TH WSEAS INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE, KNOWLEDGE ENGINEERING AND DATA BASES",2009,0,0,0,0,0,0,0,0,0,0,0,0.0
401,"REAL-TIME DIAGNOSTICS, PROGNOSTICS & HEALTH MANAGEMENT FOR LARGE-SCALE MANUFACTURING MAINTENANCE SYSTEMS","Barajas, Leandro G.; Srinivasa, Narayan","MSEC 2008: PROCEEDINGS OF THE ASME INTERNATIONAL MANUFACTURING SCIENCE AND ENGINEERING CONFERENCE 2008, VOL 2",2009,0,0,0,0,0,0,0,0,0,0,0,0.0
402,REVIEW OF INTELLIGENT ENERGY FIELD MANUFACTURING (EFM),"Zhang, Wenwu","MSEC 2008: PROCEEDINGS OF THE ASME INTERNATIONAL MANUFACTURING SCIENCE AND ENGINEERING CONFERENCE 2008, VOL 1",2009,0,0,0,0,0,0,0,0,0,0,0,0.0
403,Study on Real-Time Interaction Method to Computer Graphics Clusters for Virtual Manufacturing,Gao Xin; Jia Qing-xuan; Sun Han-xu; Song Jing-zhou,"ICIEA: 2009 4TH IEEE CONFERENCE ON INDUSTRIAL ELECTRONICS AND APPLICATIONS, VOLS 1-6",2009,0,0,0,0,0,0,0,0,0,0,0,0.0
404,Research on Real-Time Geometry Compression Method in Distributed Parallel Rendering System for Virtual Manufacturing,Gao Xin; Jia Qing-xuan; Sun Han-xu; Song Jing-zhou,"ICIEA: 2009 4TH IEEE CONFERENCE ON INDUSTRIAL ELECTRONICS AND APPLICATIONS, VOLS 1-6",2009,0,0,0,0,0,0,0,0,0,0,0,0.0
405,EFFECTIVE PRODUCTION STRUCTURES FOR INTELLIGENT MANUFACTURING,"Tesic, Zdravko; Cosic, Ilija",ANNALS OF DAAAM FOR 2009 & PROCEEDINGS OF THE 20TH INTERNATIONAL DAAAM SYMPOSIUM,2009,0,0,0,0,0,0,0,0,0,0,0,0.0
406,INTEGRATIVE MECHATRONIC MICRO-ENGINEERING USED IN INTELLIGENT MANUFACTURING AND AUTOMATIONS,"Gheorghe, Ion Gheorghe; Badea, Florentina",ANNALS OF DAAAM FOR 2009 & PROCEEDINGS OF THE 20TH INTERNATIONAL DAAAM SYMPOSIUM,2009,0,0,0,0,0,0,0,0,0,0,0,0.0
407,Using of Distributed Intelligent Agents for Holonic Control of Adaptive Manufacturing Systems,"Popa, Ilie; Cazacu, Dumitru","ADVANCES IN MANUFACTURING ENGINEERING, QUALITY AND PRODUCTION SYSTEMS, VOL I",2009,0,0,0,0,0,0,0,0,0,0,0,0.0
408,Intelligent Product-Driven Manufacturing Control A Mixed Genetic Algorithms and Machine learning approach to Product Intelligence synthesis,"Gaham, Mehdi; Bouzouia, Brahim","2009 XXII INTERNATIONAL SYMPOSIUM ON INFORMATION, COMMUNICATION AND AUTOMATION TECHNOLOGIES",2009,0,0,0,0,0,0,0,0,0,0,0,0.0
409,A Design of an Intelligent Maintenance Integrated System into Manufacturing Systems,"Zaied, Roubi A.; Abhary, Kazem","2009 IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL TECHNOLOGY, VOLS 1-3",2009,0,0,0,0,0,0,0,0,0,0,0,0.0
410,Hierarchical Control of Production Flow based on Capacity Allocation for Real-Time Scheduling of Manufacturing Systems,"Karim, Tamani; Reda, Boukezzoula; Georges, Habchi",2009 IEEE CONFERENCE ON EMERGING TECHNOLOGIES & FACTORY AUTOMATION (EFTA 2009),2009,0,0,0,0,0,0,0,0,0,0,0,0.0
411,Adaptation of Thermal Testing for Real-Time Testing in both the Factory and Depot,"Lowenstein, Duane",2009 IEEE AUTOTESTCON,2009,0,0,0,0,0,0,0,0,0,0,0,0.0
412,Intelligent Searching System Based on Manufacturing Resource Personalized Service,Xie Qingsheng; Pan Weijie; Li Shaobo; Yang Guanci,2009 ETP INTERNATIONAL CONFERENCE ON FUTURE COMPUTER AND COMMUNICATION (FCC 2009),2009,0,0,0,0,0,0,0,0,0,0,0,0.0
413,Modular cross-coupling controller for 5-axis machine tools for the International Conference on Smart Manufacturing Application (ICSMA 2008),"Jee, Sungchul; Lee, Hakchul; Byun, Jehyung; Sung, Daejung; Jang, Taesung",2008 INTERNATIONAL CONFERENCE ON SMART MANUFACTURING APPLICATION,2008,0,0,0,0,0,0,0,0,0,0,0,0.0
414,OPPORTUNITIES AND LIMITATIONS OF THE INTELLIGENT SYSTEMS OF MANUFACTURING ADOPTION: ROMANIAN CASE,"Militaru, GHeorghe; Dumitrescu, Cornia",ANNALS OF DAAAM FOR 2008 & PROCEEDINGS OF THE 19TH INTERNATIONAL DAAAM SYMPOSIUM: INTELLIGENT MANUFACTURING & AUTOMATION: FOCUS ON NEXT GENERATION OF INTELLIGENT SYSTEMS AND SOLUTIONS,2008,0,0,0,0,0,0,0,0,0,0,0,0.0
415,Multi-class fuzzy comprehensive evaluation of semiconductor wafer manufacturing line real-time production,Chen Qi; Lu Jianfeng; Zhang Hao,2013 FOURTH INTERNATIONAL CONFERENCE ON DIGITAL MANUFACTURING AND AUTOMATION (ICDMA),2013,0,0,0,0,0,0,0,0,0,0,0,0.0
416,APPROACHES OF LAYOUT DESIGN SYNTHESIS FOR INTELLIGENT MANUFACTURING SYSTEMS,"Seminsky, Jaroslav; Wessely, Emil",ANNALS OF DAAAM FOR 2008 & PROCEEDINGS OF THE 19TH INTERNATIONAL DAAAM SYMPOSIUM,2008,0,0,0,0,0,0,0,0,0,0,0,0.0
417,Real-time data collection middleware based on message agent in textile Manufacturing Execution System,Zhang Mu; Wang Ze; Liu Wenju,"PROCEEDINGS OF THE 14TH INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT, VOLS A AND B: BUILDING CORE COMPETENCIES THROUGH IE&EM",2007,0,0,0,0,0,0,0,0,0,0,0,0.0
418,Intelligent flexible disassembly and recycling of used products to support sustainability and total quality management in modern manufacturing industry,"Osanna, P. H.; Durakbasa, M. N.; Bauer, J. M.; Tahirova, H. S.; Kraeuter, L.","MANAGEMENT OF NATURAL RESOURCES, SUSTAINABLE DEVELOPMENT AND ECOLOGICAL HAZARDS",2007,0,0,0,0,0,0,0,0,0,0,0,0.0
419,Real-time stock management system supporting reconfigurable manufacturing,"Guiqin, Li; Qingfeng, Yuan; Zhiliang, Yao; Ming, Li; Minglun, Fang","International Conference on Management Innovation, Vols 1 and 2",2007,0,0,0,0,0,0,0,0,0,0,0,0.0
420,Special twist - Innovia films leads smart manufacturing,"Cross, Candi S.",INDUSTRIAL ENGINEER,2007,0,0,0,0,0,0,0,0,0,0,0,0.0
421,Designing an e-based real time quality control information system for distributed manufacturing shops,"Mahdavi, Iraj; Shirazi, Babak; Solimanpur, Maghsud; Ghobadi, Shahram",ICEIS 2007: PROCEEDINGS OF THE NINTH INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS: INFORMATION SYSTEMS ANALYSIS AND SPECIFICATION,2007,0,0,0,0,0,0,0,0,0,0,0,0.0
422,Methodology for the manufacture of smart composites with thermoplastic matrix,"Elsoufi, L.; Khalil, K.; Lachat, R.; Charon, W.; Zoaeter, M.",COMPUTATIONAL METHODS AND EXPERIMENTAL MEASUREMENTS XIII,2007,0,0,0,0,0,0,0,0,0,0,0,0.0
423,An Intelligent Approach for Quality Prediction in Yarn Manufacture,Xiang Qian; Lv Zhi-Jun; Yang Jian-Guo,"2007 INTERNATIONAL CONFERENCE ON WIRELESS COMMUNICATIONS, NETWORKING AND MOBILE COMPUTING, VOLS 1-15",2007,0,0,0,0,0,0,0,0,0,0,0,0.0
424,Dynamic modeling of rotational motion of carbon nanotubes for intelligent manufacturing of CNT-based devices,"Wejinya, Uchechukwu C.; Xi, Ning; Shen, Yantao; Lai, King Wai Chiu","2007 IEEE/RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS, VOLS 1-9",2007,0,0,0,0,0,0,0,0,0,0,0,0.0
425,Simulation based real-time scheduling method for dispatching and rework control of semiconductor manufacturing system,"Zhang, Huai; Jiang, Zhibin; Guo, Chengtao","2007 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN AND CYBERNETICS, VOLS 1-8",2007,0,0,0,0,0,0,0,0,0,0,0,0.0
426,Intelligent integrated method of EPC and SPC in manufacturing process quality control,Yang Musheng; Zhang Yu,"2007 IEEE INTERNATIONAL CONFERENCE ON CONTROL AND AUTOMATION, VOLS 1-7",2007,0,0,0,0,0,0,0,0,0,0,0,0.0
427,Intelligent integrated control method in manufacturing process,"Musheng, Yang; Yu, Zhang","2007 IEEE INTERNATIONAL CONFERENCE ON AUTOMATION AND LOGISTICS, VOLS 1-6",2007,0,0,0,0,0,0,0,0,0,0,0,0.0
428,A real time vision system for defect inspection in a cast extrusion manufacturing process,"Gamage, P.; Xie, S. Q.","14TH INTERNATIONAL CONFERENCE ON MECHATRONICS AND MACHINE VISION IN PRACTICE 2007, PROCEEDINGS",2007,0,0,0,0,0,0,0,0,0,0,0,0.0
429,Digital manufacturing: The nexus of the real-time information enterprise and the digital factory using of flexible reconfigurable equipment,"Biller, Stephan",WODES' 08: PROCEEDINGS OF THE 9TH INTERNATIONAL WORKSHOP ON DISCRETE EVENT SYSTEMS,2008,0,0,0,0,0,0,0,0,0,0,0,0.0
430,Global logistics intelligent decision system of medical equipment manufacturing,"Ali, Sk Ahad; Seifoddini, Hamid; Lee, Jay","RESEARCH AND PRACTICAL ISSUES OF ENTERPRISE INFORMATION SYSTEMS II, VOL 1",2008,0,0,0,0,0,0,0,0,0,0,0,0.0
431,Converting Computer-Integrated Manufacturing into an Intelligent Information System by Combining CIM with Concurrent Engineering and Knowledge Management,Liu Yongfeng; Zhang Youtong; Tian Hongseng,"PROCEEDINGS OF THE 15TH INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT, VOLS A-C",2008,0,0,0,0,0,0,0,0,0,0,0,0.0
432,Intelligent Acquisition and Integrated Application technologies for Manufacturing Resources,"Chen, Bing; Yang, Ting; Li, Shan","PACIIA: 2008 PACIFIC-ASIA WORKSHOP ON COMPUTATIONAL INTELLIGENCE AND INDUSTRIAL APPLICATION, VOLS 1-3, PROCEEDINGS",2008,0,0,0,0,0,0,0,0,0,0,0,0.0
433,A Neural Network Based Decision Support System for Real-Time Scheduling of Flexible Manufacturing Systems,"Akyol, Derya Eren; Araz, Ozlem Uzun",OPERATIONS RESEARCH PROCEEDINGS 2007,2008,0,0,0,0,0,0,0,0,0,0,0,0.0
434,Cooperative intelligent system for manufacturing scheduling,"Madureira, Ana; Santos, Joaquim; Pereira, Ivo",MMACTEE' 08: PROCEEDINGS OF THE 10TH WSEAS INTERNATIONAL CONFERENCE MATHERMATICAL METHODS AND COMPUTATIONAL TECHNIQUES IN ELECTRICAL ENGINEERING: COMPUTATIONAL METHODS AND INTELLIGENT SYSTEMS,2008,0,0,0,0,0,0,0,0,0,0,0,0.0
435,A wasp-based control model for real-time routing of parts in a flexible manufacturing system,"Meyyappan, L.; Soylemezoglu, A.; Saygin, C.; Dagli, C. H.",INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,2008,0,0,0,0,0,0,0,0,0,0,0,0.0
436,Intelligent production monitoring and control based on three main modules for automated manufacturing cells in the automotive industry,"Berger, Ulrich; Kretzschmann, Ralf; Vargas, Algebra Veronica A.",INTELLIGENT SYSTEMS AND AUTOMATION,2008,0,0,0,0,0,0,0,0,0,0,0,0.0
437,Manufacturing technique for robust and modular smart composites,"Kessenich, Grace; Pletner, Baruch",INDUSTRIAL AND COMMERCIAL APPLICATIONS OF SMART STRUCTURES TECHNOLOGIES 2008,2008,0,0,0,0,0,0,0,0,0,0,0,0.0
438,A smart design of coolant tank leak testing equipment in car manufacture using Fault Detection and Isolation Observer based method,"Li, C. J.; Qi, T. Z.; Zhang, Z. Q.","ICIEA 2008: 3RD IEEE CONFERENCE ON INDUSTRIAL ELECTRONICS AND APPLICATIONS, PROCEEDINGS, VOLS 1-3",2008,0,0,0,0,0,0,0,0,0,0,0,0.0
439,Design of a STEP-compliant CNC system for intelligent manufacturing,"Liu, R. L.; Zhang, C. R.; Zhang, X. Z.",E-ENGINEERING & DIGITAL ENTERPRISE TECHNOLOGY,2008,0,0,0,0,0,0,0,0,0,0,0,0.0
440,Broadcaster: An Architectural Description of a Prototype Supporting Real-time Remote Data Propagation in Distributed Manufacturing,"Barot, V.; Harrison, R.; McLeod, C. S.; West, A. A.","2009 7TH IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL INFORMATICS, VOLS 1 AND 2",2009,0,0,0,0,0,0,0,0,0,0,0,0.0
441,The System Design of the Apparel's Style Knowledge Database Oriented to Intelligent Manufacture,"Chen, Jian-Ming; Shang, Xiao-Mei; Tang, Lin; Wang, Fei","TEXTILE BIOENGINEERING AND INFORMATICS SYMPOSIUM PROCEEDINGS, VOLS 1-3",2010,0,0,0,0,0,0,0,0,0,0,0,0.0
442,Research on Service Discovery of Manufacturing Supply Chain Intelligent Collaboration Based on SOA,"Deng, Shan; Wu, Zeshu",PROCEEDINGS OF THE FOURTH INTERNATIONAL CONFERENCE ON OPERATIONS AND SUPPLY CHAIN MANAGEMENT (ICOSCM 2010),2010,0,0,0,0,0,0,0,0,0,0,0,0.0
443,DEVELOPMENT OF INTELLIGENT MODEL FOR ESTIMATING MANUFACTURING COST IN SHEET METALWORKING,"Rimasauskas, M.; Bargelis, A.","PROCEEDINGS OF THE 7TH INTERNATIONAL CONFERENCE OF DAAAM BALTIC INDUSTRIAL ENGINEERING, VOLS 1 AND 2",2010,0,0,0,0,0,0,0,0,0,0,0,0.0
444,ADAPTRONICS - NEW CONCEPT FOR THE FUTURE OF ADVANCED ENGINEERING AND INTELLIGENT AUTOMATISED MANUFACTURING,"Gheorghe, Ion Gheorghe; Istriteanu, Simona-Elena; Constantinescu, Alexandru; Despa, Veronica",ANNALS OF DAAAM FOR 2012 & PROCEEDINGS OF THE 23RD INTERNATIONAL DAAAM SYMPOSIUM - INTELLIGENT MANUFACTURING AND AUTOMATION - FOCUS ON SUSTAINABILITY,2012,0,0,0,0,0,0,0,0,0,0,0,0.0
445,INTELLIGENT MANUFACTURING SYSTEMS BASED ON NOISE AND VIBRATION INVESTIGATION,"Zapciu, Miron; Boicea, Nicolae",18TH EUROPEAN CONCURRENT ENGINEERING CONFERENCE (ECEC 2012)/8TH FUTURE BUSINESS TECHNOLOGY CONFERENCE (FUBUTEC 2012),2012,0,0,0,0,0,0,0,0,0,0,0,0.0
446,MANUFACTURE OF HELICOIDAL SURFACES IN MODERN INTELLIGENT INTEGRATED SYSTEMS,"Dudas, I",13TH INTERNATIONAL CONFERENCE ON TOOLS,2012,0,0,0,0,0,0,0,0,0,0,0,0.0
447,The development of the intelligent forecasting model for productivity index in manufacturing,"Rimasauskas, M.; Bargelis, A.",MECHANIKA,2012,0,0,0,0,0,0,0,0,0,0,0,0.0
448,An Intelligent Process Model for Manufacturing System Optimization,"Hoe, Ho Kok; Muthusamy, Kanesan; Kanthen, Harikrishnan","MANUFACTURING SCIENCE AND TECHNOLOGY, PTS 1-8",2012,0,0,0,0,0,0,0,0,0,0,0,0.0
449,The Role of Models in Semiconductor Smart Manufacturing,"Weber, Alan",2016 E-MANUFACTURING AND DESIGN COLLABORATION SYMPOSIUM (EMDC),2016,0,0,0,0,0,0,0,0,0,0,0,0.0
450,"6th International Symposium on Advanced Optical Manufacturing and Testing Technologies Design, Manufacturing, and Testing of Smart Structures, Micro- and Nano-Optical Devices, and Systems Introduction","Yang, Li; Wang, Jinxue","6TH INTERNATIONAL SYMPOSIUM ON ADVANCED OPTICAL MANUFACTURING AND TESTING TECHNOLOGIES: DESIGN, MANUFACTURING, AND TESTING OF SMART STRUCTURES, MICRO- AND NANO- OPTICAL DEVICES, AND SYSTEMS",2012,0,0,0,0,0,0,0,0,0,0,0,0.0
451,A Web-Based Manufacturing Execution System for Industry Services and Supply Chain Management: Application to Real-Time Process Virtual Monitoring,"Giriraj, M.; Muthu, S.; Pasupathy, S. A.","TRENDS IN INTELLIGENT ROBOTICS, AUTOMATION, AND MANUFACTURING",2012,0,0,0,0,0,0,0,0,0,0,0,0.0
452,Agile Intelligent Research of Manufacturing System in Modern Enterprises,"Meng, Chao; Wang, Shan","ADVANCES IN MANUFACTURING TECHNOLOGY, PTS 1-4",2012,0,0,0,0,0,0,0,0,0,0,0,0.0
453,Optimisation of Manufacturing Process Models via Intelligent Water Drop Algorithm,"Luangpaiboon, Pongchanun","ADVANCED MATERIALS AND PROCESS TECHNOLOGY, PTS 1-3",2012,0,0,0,0,0,0,0,0,0,0,0,0.0
454,Real-time Adaptive Classification System for Intelligent Sensing in Manufacturing Environment,"Tew, Kar Leong; Nguyen Minh Nhut; Teddy, Sintiania Dewi; Li, Xiaoli",2012 IEEE INTERNATIONAL CONFERENCE ON GRANULAR COMPUTING (GRC 2012),2012,0,0,0,0,0,0,0,0,0,0,0,0.0
455,Multi-Agent System Smart Factory for Real-time Workshop Management: Results of Design & Implementation for Izhevsk Axion-Holding Factory,"Tyrin, Ivan; Vylegzhanin, Andrey; Kozhevnikov, Sergey; Kuznetsov, Oleg; Skobelev, Petr; Kolbova, Elina; Shepilov, Yaroslav",2012 IEEE 17TH CONFERENCE ON EMERGING TECHNOLOGIES & FACTORY AUTOMATION (ETFA),2012,0,0,0,0,0,0,0,0,0,0,0,0.0
